property_id,area_sq_m,bedrooms,age_years,neighbourhood,energy_rating,has_garden,price
P0001,156.9,5,7,Central,D,yes,714392.44
P0002,148.3,4,7,West,A,yes,659971.83
P0003,170.3,5,17,South,D,yes,659390.13
P0004,177.8,5,9,North,E,no,713269.43
P0005,62.9,1,12,South,D,no,302581.41
P0006,138.8,5,22,West,E,no,557024.58
P0007,146.0,4,7,South,E,yes,591446.41
P0008,196.6,5,50,North,C,yes,764162.69
P0009,162.3,4,2,North,C,yes,645408.46
P0010,73.6,1,29,West,B,no,385407.76
P0011,192.5,6,1,South,C,yes,771819.53
P0012,81.9,3,11,East,C,no,352752.05
P0013,70.0,3,22,West,C,no,370311.71
P0014,108.3,3,19,Central,D,yes,524439.96
P0015,154.8,5,2,East,C,no,606897.34
P0016,137.6,5,0,Central,D,no,626706.97
P0017,179.5,5,5,Central,E,no,771779.84
P0018,215.1,6,3,South,D,yes,822528.97
P0019,71.7,2,42,West,E,no,267449.05
P0020,130.5,4,118,South,B,yes,468533.61
P0021,198.7,6,19,Central,E,yes,828616.88
P0022,67.5,1,9,West,C,yes,354790.15
P0023,207.6,6,35,East,E,no,719115.29
P0024,121.7,3,7,South,A,yes,547396.64
P0025,148.0,5,2,Central,E,no,659100.48
P0026,57.4,2,7,North,D,no,326566.45
P0027,87.5,2,3,East,C,no,391846.92
P0028,126.7,4,116,Central,A,no,456247.39
P0029,185.1,6,22,North,C,no,737042.06
P0030,126.0,4,46,West,B,yes,526859.29
P0031,214.6,6,5,East,C,no,807402.54
P0032,202.9,6,14,East,C,no,782235.21
P0033,72.1,2,24,West,A,no,415793.56
P0034,55.0,1,54,North,A,yes,258282.78
P0035,194.0,6,55,East,B,yes,743058.01
P0036,146.3,4,30,West,C,no,586613.09
P0037,80.7,2,,South,C,yes,363513.81
P0038,46.6,1,3,West,B,no,256517.12
P0039,68.2,2,8,South,B,no,342803.68
P0040,152.0,5,0,West,C,yes,663598.21
P0041,209.3,6,3,West,B,no,852341.3
P0042,150.8,4,28,South,C,no,569899.93
P0043,203.4,6,15,South,A,no,797685.62
P0044,179.9,5,38,West,D,yes,691685.27
P0045,64.6,3,5,Central,D,yes,387771.24
P0046,120.2,4,76,Central,E,yes,505978.8
P0047,164.4,4,23,East,E,yes,615342.17
P0048,207.0,6,45,North,E,yes,791143.45
P0049,76.4,3,15,North,B,yes,372830.93
P0050,111.9,4,6,East,C,yes,509002.14
P0051,84.0,2,9,Central,E,no,397466.49
P0052,106.5,2,52,South,E,yes,402461.54
P0053,198.5,6,115,Central,B,no,762259.74
P0054,105.5,3,116,Central,C,yes,391969.0
P0055,89.6,3,73,West,D,yes,359070.14
P0056,108.7,4,11,South,D,yes,498831.81
P0057,171.0,5,15,East,D,yes,702322.88
P0058,78.6,2,39,North,C,no,311455.44
P0059,116.1,4,7,West,C,no,495154.43
P0060,126.4,3,18,North,D,no,514595.86
P0061,135.2,3,48,North,D,yes,509759.6
P0062,186.1,5,116,West,D,yes,645819.94
P0063,124.7,4,35,East,C,yes,490927.02
P0064,70.8,2,55,Central,D,yes,309199.95
P0065,75.8,3,1,North,E,yes,370891.24
P0066,124.9,4,124,West,C,no,378503.08
P0067,152.2,4,50,West,C,yes,575115.69
P0068,175.1,5,8,South,D,no,689465.79
P0069,154.7,4,9,South,C,yes,650664.03
P0070,69.2,2,34,Central,C,no,396716.35
P0071,140.0,4,15,West,E,yes,593748.44
P0072,194.9,6,0,South,C,no,752310.61
P0073,194.4,6,39,West,D,yes,752965.43
P0074,130.4,4,14,East,D,no,550267.87
P0075,205.9,6,66,West,C,yes,771695.69
P0076,59.7,1,6,South,C,yes,334339.78
P0077,124.6,3,9,East,B,yes,582929.4
P0078,127.3,4,85,North,D,yes,461010.2
P0079,177.0,5,1,North,B,no,720317.25
P0080,162.2,4,34,South,B,yes,641056.42
P0081,181.1,5,24,South,C,no,713869.83
P0082,114.4,3,33,North,B,no,462467.42
P0083,193.8,5,116,Central,C,no,688368.21
P0084,160.8,5,0,East,D,yes,681111.75
P0085,120.9,3,17,North,C,no,538713.61
P0086,152.8,5,18,West,B,yes,639113.16
P0087,190.4,6,8,East,C,no,773163.47
P0088,103.9,2,19,South,D,no,420341.07
P0089,93.9,2,23,West,E,yes,383098.83
P0090,87.2,2,8,East,D,no,390183.38
P0091,123.4,4,15,North,C,no,521546.51
P0092,127.8,3,38,South,,no,487281.41
P0093,92.4,3,6,Central,D,yes,500250.1
P0094,78.5,2,25,West,C,yes,357440.16
P0095,190.7,5,10,West,B,yes,810997.26
P0096,215.5,5,4,East,B,yes,842990.34
P0097,145.5,4,6,Central,B,no,667942.55
P0098,65.0,2,24,Central,B,no,378744.48
P0099,59.9,2,15,West,D,yes,350849.43
P0100,180.7,4,10,West,E,no,735079.37
P0101,144.5,6,3,North,C,no,640608.2
P0102,160.6,5,2,Central,C,no,727093.1
P0103,96.0,3,34,East,A,yes,469148.81
P0104,206.7,6,30,North,C,yes,776768.22
P0105,158.3,5,2,North,D,no,621907.96
P0106,121.9,3,14,South,C,no,503673.48
P0107,121.6,2,37,West,B,yes,482320.4
P0108,85.1,2,25,Central,E,no,361471.44
P0109,145.8,4,20,East,E,yes,563714.9
P0110,219.5,5,97,East,C,no,750963.91
P0111,101.2,3,15,East,C,no,436022.5
P0112,187.4,5,11,South,B,no,732395.57
P0113,196.4,6,57,East,C,yes,733753.44
P0114,135.7,3,16,Central,B,yes,614000.72
P0115,207.3,5,4,West,D,yes,845044.51
P0116,99.4,3,7,Central,C,yes,519488.84
P0117,158.3,5,10,South,C,no,684465.58
P0118,216.5,6,14,West,C,yes,896759.39
P0119,196.2,5,15,West,B,yes,843166.34
P0120,94.5,2,191,East,D,no,225740.93
P0121,139.3,4,22,East,E,yes,580698.63
P0122,216.6,6,54,East,A,no,824246.22
P0123,168.4,5,31,North,C,yes,654815.4
P0124,67.1,2,3,East,B,no,327763.83
P0125,47.7,2,98,Central,C,no,259055.97
P0126,104.2,3,53,West,C,no,382600.12
P0127,154.7,5,22,West,A,no,630797.94
P0128,219.5,6,3,Central,C,no,885500.29
P0129,203.1,6,10,South,C,yes,825117.26
P0130,138.0,3,5,Central,C,no,603967.94
P0131,153.4,4,4,East,D,no,660408.49
P0132,89.7,4,65,West,B,no,377099.41
P0133,210.4,6,92,South,C,no,722511.53
P0134,79.9,2,8,West,C,no,396156.37
P0135,218.7,6,30,South,A,yes,924467.99
P0136,204.4,6,65,North,C,no,696206.01
P0137,83.3,3,39,North,C,yes,394616.41
P0138,99.1,2,37,Central,E,no,446898.5
P0139,175.8,5,22,South,C,no,692769.08
P0140,190.3,5,18,South,D,no,768903.89
P0141,185.7,5,39,North,D,no,695217.18
P0142,214.3,6,44,Central,B,yes,859790.62
P0143,124.6,3,25,South,B,yes,496500.51
P0144,127.5,3,11,West,B,yes,528673.99
P0145,156.2,4,29,Central,B,yes,702243.68
P0146,98.3,3,61,North,C,no,379962.76
P0147,162.3,5,15,North,E,yes,599932.2
P0148,190.9,4,9,South,B,no,707262.1
P0149,211.3,6,32,West,E,no,782303.56
P0150,55.6,1,83,East,B,yes,282817.63
P0151,157.3,4,43,North,E,yes,599201.52
P0152,57.0,2,7,North,C,yes,303421.29
P0153,183.0,5,116,North,C,yes,619030.14
P0154,64.2,2,12,North,C,yes,327745.67
P0155,75.5,3,21,Central,C,no,416267.82
P0156,134.8,4,81,Central,D,no,546241.63
P0157,125.2,4,18,East,C,yes,529934.5
P0158,130.8,4,2,West,B,yes,592320.52
P0159,93.1,2,11,West,C,no,394364.95
P0160,133.5,3,3,West,D,yes,595990.99
P0161,120.3,4,49,East,C,yes,466020.4
P0162,99.7,3,86,East,A,yes,403448.0
P0163,61.3,3,47,West,A,no,326882.93
P0164,162.3,4,79,East,D,yes,601405.82
P0165,214.5,6,24,North,B,no,815820.93
P0166,84.2,3,13,South,C,no,409297.65
P0167,192.9,6,27,West,A,no,767520.06
P0168,50.1,1,71,South,A,yes,271475.67
P0169,144.1,4,28,Central,B,yes,664070.62
P0170,110.8,3,10,South,D,yes,486593.51
P0171,199.6,6,1,Central,B,no,892967.19
P0172,130.0,3,39,Central,C,yes,586928.06
P0173,94.6,2,31,Central,B,yes,451656.24
P0174,46.3,1,4,South,C,yes,288438.0
P0175,46.4,1,13,North,C,no,233263.41
P0176,57.6,2,1,Central,D,no,345833.14
P0177,145.3,4,3,Central,E,yes,636504.74
P0178,185.2,4,71,Central,C,yes,699898.65
P0179,87.6,2,14,South,D,yes,379426.96
P0180,103.3,3,3,West,B,no,502234.31
P0181,106.4,4,,Central,B,yes,553111.77
P0182,75.4,3,2,East,C,no,392266.32
P0183,164.2,5,121,South,D,no,504084.89
P0184,71.4,3,10,South,C,no,353268.29
P0185,133.8,4,2,South,A,yes,626406.48
P0186,152.6,4,23,Central,C,yes,677832.4
P0187,101.3,3,2,Central,D,no,501053.55
P0188,216.9,6,1,East,E,yes,862463.91
P0189,108.7,4,42,West,A,no,458924.35
P0190,56.5,2,9,West,D,no,314126.3
P0191,59.3,1,10,East,B,yes,266937.81
P0192,99.2,2,47,West,B,no,436479.61
P0193,134.0,4,85,South,E,no,454657.85
P0194,78.6,3,10,Central,C,yes,447517.95
P0195,160.8,5,25,North,B,yes,645722.25
P0196,171.2,5,36,East,C,no,652433.07
P0197,86.0,3,43,North,C,no,422059.71
P0198,125.8,3,21,North,D,yes,548533.55
P0199,197.8,6,13,Central,D,yes,853505.89
P0200,94.9,3,66,North,D,yes,357988.82
P0201,210.6,6,12,Central,C,no,898603.59
P0202,132.9,4,13,Central,C,yes,704125.38
P0203,191.9,5,4,South,E,no,701310.42
P0204,166.8,5,17,Central,E,yes,751794.38
P0205,89.8,3,36,West,C,no,361693.93
P0206,86.6,3,29,West,C,yes,419495.26
P0207,191.4,5,28,West,B,yes,771711.92
P0208,96.0,3,24,North,D,yes,427020.06
P0209,136.6,3,22,West,C,no,598570.0
P0210,197.8,6,13,Central,C,yes,859072.85
P0211,105.3,3,41,South,B,no,393290.4
P0212,140.6,4,42,East,E,no,501999.06
P0213,155.6,5,42,East,A,yes,623693.63
P0214,52.7,2,76,West,C,no,222711.59
P0215,89.3,3,12,Central,D,no,433932.57
P0216,92.8,3,14,East,E,no,360062.9
P0217,104.3,3,13,West,B,yes,525431.54
P0218,172.2,6,48,West,C,yes,702751.44
P0219,59.0,1,26,East,B,no,254799.63
P0220,106.5,4,12,East,B,yes,501350.96
P0221,58.1,1,45,North,E,yes,238077.27
P0222,193.5,5,4,North,D,no,733614.2
P0223,108.4,3,5,East,E,no,442457.36
P0224,122.7,4,13,South,D,yes,532408.35
P0225,213.1,6,20,West,B,no,839416.25
P0226,168.2,5,33,East,B,yes,704144.78
P0227,194.2,4,16,Central,D,no,805081.78
P0228,161.9,4,10,South,D,yes,625725.34
P0229,183.9,5,6,North,B,no,741208.7
P0230,49.6,1,46,West,B,yes,254453.0
P0231,56.5,1,18,East,D,yes,299767.48
P0232,66.9,2,18,West,C,yes,355878.62
P0233,179.4,6,57,Central,C,no,743945.85
P0234,73.8,2,12,West,E,yes,392823.76
P0235,88.9,2,4,South,C,yes,395295.63
P0236,133.0,4,5,West,D,no,610990.41
P0237,192.4,4,1,Central,E,no,774134.96
P0238,158.9,5,29,East,E,no,572806.13
P0239,157.3,4,46,East,C,yes,620793.01
P0240,165.5,5,17,South,C,no,674742.0
P0241,195.8,5,12,East,B,no,826090.87
P0242,135.1,4,4,East,B,yes,599967.88
P0243,53.9,3,15,North,D,no,263844.77
P0244,78.2,3,18,South,C,yes,444555.16
P0245,210.4,4,7,South,A,no,817438.93
P0246,131.6,4,18,West,A,yes,568752.88
P0247,120.4,4,40,South,A,yes,491225.77
P0248,144.8,4,2,West,C,no,638802.21
P0249,189.4,5,4,Central,C,no,781617.23
P0250,142.6,4,26,East,C,yes,588735.38
P0251,51.8,1,21,North,C,yes,236462.67
P0252,102.4,3,131,South,C,no,299258.66
P0253,169.0,4,13,Central,E,no,745499.89
P0254,184.4,5,1,East,B,yes,722786.7
P0255,171.2,5,28,West,D,no,659687.22
P0256,70.9,2,83,Central,B,no,316067.68
P0257,99.9,3,15,West,E,yes,478109.97
P0258,168.5,4,176,East,C,no,470993.72
P0259,212.4,5,22,South,C,yes,827907.39
P0260,212.5,6,79,South,,yes,778974.75
P0261,165.8,4,23,South,C,no,641154.39
P0262,201.8,5,42,North,C,no,763146.2
P0263,212.2,6,30,East,B,no,828997.84
P0264,208.3,6,27,West,B,yes,823556.6
P0265,162.2,4,2,East,C,no,639209.75
P0266,62.6,2,22,North,C,no,296694.46
P0267,128.6,4,11,Central,E,yes,657187.54
P0268,159.2,5,53,Central,E,yes,698214.41
P0269,118.1,4,1,East,D,yes,472137.87
P0270,208.9,6,59,Central,C,yes,824670.2
P0271,207.5,6,29,West,C,yes,843834.6
P0272,193.9,5,3,North,D,no,762315.13
P0273,170.8,5,10,North,B,no,697483.41
P0274,189.7,5,31,North,E,no,704959.92
P0275,101.6,3,8,South,E,no,442975.93
P0276,146.9,4,12,North,A,yes,631618.03
P0277,126.4,4,72,South,D,no,482091.45
P0278,109.3,3,18,East,D,no,501238.66
P0279,117.8,3,22,North,D,yes,490516.61
P0280,137.0,3,70,Central,A,yes,584394.72
P0281,145.2,4,21,Central,D,no,644844.28
P0282,60.9,1,17,West,C,yes,317336.51
P0283,142.8,4,1,South,D,yes,585637.09
P0284,146.2,5,2,Central,E,yes,679832.87
P0285,217.6,6,6,North,D,no,844167.01
P0286,110.5,4,70,East,C,yes,411078.77
P0287,159.4,4,22,West,B,yes,679177.66
P0288,191.1,6,17,West,C,no,693365.7
P0289,189.1,5,9,Central,A,no,840341.4
P0290,152.6,6,8,Central,B,yes,703892.68
P0291,123.1,3,8,Central,C,yes,549163.34
P0292,139.5,4,4,South,B,no,544496.55
P0293,146.1,4,8,North,E,yes,560833.83
P0294,117.4,3,25,North,C,no,510412.31
P0295,142.3,5,29,East,D,no,559863.32
P0296,166.9,4,6,West,C,yes,709525.51
P0297,97.6,3,69,West,C,no,334505.22
P0298,142.5,4,6,Central,E,no,639761.01
P0299,61.2,2,9,West,C,yes,323536.08
P0300,77.9,2,23,East,B,no,306557.29
P0301,98.1,3,6,Central,D,no,475359.21
P0302,205.0,6,14,North,C,no,764326.48
P0303,111.6,3,8,West,E,no,466567.78
P0304,62.3,2,51,North,C,no,263095.26
P0305,53.0,2,0,West,E,no,253848.19
P0306,96.7,3,24,North,C,no,431410.48
P0307,90.0,3,29,East,C,no,319770.73
P0308,74.6,2,70,West,E,yes,270418.89
P0309,136.7,4,48,Central,D,no,562646.16
P0310,69.1,2,5,North,C,no,332028.65
P0311,55.6,1,68,East,A,no,182528.79
P0312,47.1,1,106,Central,C,no,197584.56
P0313,186.1,6,3,North,B,no,755087.72
P0314,187.7,5,13,East,C,yes,770332.75
P0315,218.3,6,53,Central,B,no,898273.37
P0316,111.0,2,34,Central,C,no,498929.91
P0317,157.9,4,102,West,E,yes,604701.88
P0318,82.0,3,18,Central,E,no,373620.78
P0319,202.4,6,74,South,A,yes,757867.92
P0320,147.7,4,14,Central,C,yes,635337.96
P0321,144.2,5,22,East,D,yes,559973.89
P0322,183.3,5,38,South,A,no,698756.79
P0323,85.6,3,27,West,C,no,399260.44
P0324,50.2,1,19,South,C,no,321099.46
P0325,120.6,3,3,West,C,yes,512721.57
P0326,169.8,5,35,North,D,no,653707.31
P0327,108.1,4,16,South,B,yes,525559.7
P0328,77.8,1,15,Central,B,yes,441104.99
P0329,149.5,5,0,East,C,yes,591601.12
P0330,171.8,3,8,West,B,no,663438.42
P0331,74.7,2,4,North,C,no,376480.69
P0332,97.5,3,81,East,C,yes,342657.95
P0333,125.1,4,14,West,C,no,536023.65
P0334,122.0,2,29,West,B,no,518376.58
P0335,150.6,4,5,East,E,no,562616.48
P0336,173.6,4,43,South,C,no,595588.54
P0337,108.9,3,165,North,D,yes,306346.14
P0338,211.8,5,16,South,D,yes,826157.46
P0339,188.3,6,19,South,B,yes,742045.85
P0340,170.2,5,131,East,C,no,529413.47
P0341,140.1,4,63,West,C,yes,528101.91
P0342,64.1,2,5,West,A,no,386097.43
P0343,214.2,6,3,Central,B,yes,963444.57
P0344,123.0,3,25,West,B,yes,564191.81
P0345,129.5,3,3,North,C,no,594928.53
P0346,124.7,4,18,East,D,no,526798.81
P0347,100.8,3,3,South,D,yes,499848.71
P0348,207.7,6,22,South,C,no,763578.67
P0349,85.6,2,29,East,C,yes,383630.72
P0350,123.7,3,7,South,D,yes,528110.87
P0351,146.0,4,13,North,C,no,565549.73
P0352,162.4,3,11,East,C,yes,653699.38
P0353,105.9,3,47,South,E,yes,389726.54
P0354,162.6,4,3,South,D,no,659361.55
P0355,118.2,4,6,West,D,yes,552631.41
P0356,142.1,4,11,East,C,no,572478.23
P0357,211.6,6,14,West,C,no,830246.86
P0358,116.6,2,16,North,B,yes,512482.71
P0359,184.3,5,7,South,B,no,741142.45
P0360,144.0,4,20,West,B,no,570014.17
P0361,139.9,4,16,North,E,yes,535569.87
P0362,173.8,5,58,Central,C,no,680474.94
P0363,195.9,6,3,North,B,no,817555.74
P0364,195.7,5,27,North,D,yes,744333.58
P0365,144.8,3,5,South,C,no,576343.37
P0366,211.7,5,47,North,E,no,754080.05
P0367,205.8,6,4,North,B,no,820884.7
P0368,190.0,5,19,West,D,no,701149.87
P0369,110.7,4,41,East,C,no,457649.15
P0370,166.6,5,19,West,A,yes,693804.72
P0371,172.9,4,12,Central,D,no,735230.97
P0372,83.1,2,9,South,C,yes,401104.77
P0373,144.1,4,32,Central,A,no,641946.43
P0374,47.8,2,17,East,B,yes,271222.01
P0375,199.4,5,59,Central,D,no,814496.71
P0376,59.4,1,1,South,D,yes,280145.54
P0377,120.1,4,7,Central,B,yes,608439.89
P0378,135.9,4,12,Central,E,no,599713.23
P0379,166.5,4,3,Central,B,no,735916.96
P0380,199.2,6,39,North,D,yes,798926.65
P0381,57.0,1,5,South,D,yes,285139.55
P0382,206.0,5,7,Central,B,yes,869214.65
P0383,148.2,3,11,North,B,yes,667217.42
P0384,88.4,2,9,Central,D,no,418239.5
P0385,81.0,2,14,Central,D,yes,424140.78
P0386,131.6,4,25,West,E,yes,565993.8
P0387,217.7,6,55,West,C,yes,819989.56
P0388,178.5,6,0,Central,A,yes,813578.33
P0389,52.0,2,20,West,D,no,283108.0
P0390,167.8,5,27,South,B,yes,696995.89
P0391,134.5,4,22,East,C,yes,598933.85
P0392,99.3,1,8,North,B,no,455710.84
P0393,65.3,2,31,North,B,yes,324623.62
P0394,167.8,6,21,South,B,yes,748724.52
P0395,176.2,6,4,Central,C,no,743597.79
P0396,92.6,4,24,Central,C,no,478719.27
P0397,54.7,2,5,Central,E,yes,339328.3
P0398,85.0,2,56,North,A,no,353000.81
P0399,112.0,4,55,West,D,no,483835.79
P0400,84.3,2,11,Central,C,yes,509055.73
